name;open;high;low;close;volume;marketCap;timestamp
"2781";3168.0690282349;3266.307259517;2934.5907810392;3176.1313748208;80022134.22;0;"2024-04-15T00:00:00.000Z"
"2781";3176.1313748208;3330.8453749608;3049.0084270885;3251.6189391261;138816423.23;0;"2024-04-22T00:00:00.000Z"
"2781";3251.6189391261;3278.5385063591;2805.730414009;3155.1030133419;130910119.34;0;"2024-04-29T00:00:00.000Z"
"2781";3155.1030133419;3228.2142751168;2909.3936687436;2945.0059587164;72918340.65;0;"2024-05-06T00:00:00.000Z"
"2781";2945.0059587164;3169.4289219036;2886.5537350192;3099.8982185926;76943712.11;0;"2024-05-13T00:00:00.000Z"
"2781";3099.8982185926;3880.5853888728;3087.3269691428;3842.9446646456;21989405.13;958581074.93;"2024-05-20T00:00:00.000Z"
"2781";3842.9446646456;3984.2193483024;3733.1871071676;3817.3538533561;34742270.17;1129925659.83;"2024-05-27T00:00:00.000Z"
"2781";3817.3538533561;3915.9974118857;3710.2915734815;3745.0365798294;14147713.41;1112230594.94;"2024-06-03T00:00:00.000Z"
"2781";3745.0365798294;3745.0365798294;3441.7383456714;3630.3494570841;11346552.05;1078314402.28;"2024-06-10T00:00:00.000Z"
"2781";3630.3494570841;3639.0264465366;3436.7435890857;3453.8407568832;11011655.22;1034875844.69;"2024-06-17T00:00:00.000Z"
"2781";3453.8407568832;3490.6794198723;3298.8824102697;3469.3339234672;91376208.29;1023144480.17;"2024-06-24T00:00:00.000Z"
"2781";3469.3339234672;3526.2530436145;2867.6669785093;2984.4586930496;48046049;774819098.54;"2024-07-01T00:00:00.000Z"
"2781";2984.4586930496;3291.9848850667;2888.2274748194;3291.9848850667;27491440.66;828756940.58;"2024-07-08T00:00:00.000Z"
"2781";3291.9848850667;3578.5527976786;3291.9665969535;3568.6865947952;10801515.14;894719727.62;"2024-07-15T00:00:00.000Z"
"2781";3568.6865947952;3597.6826308784;3207.9729699128;3317.9292272008;24768199.55;822291259.27;"2024-07-22T00:00:00.000Z"
"2781";3317.9292272008;3442.6466166921;2721.0055087175;2767.2698098598;28170980.5;687996520.1;"2024-07-29T00:00:00.000Z"
"2781";2767.2698098598;2767.3097888339;2226.6704567303;2604.3194236507;208285099.52;646932683.89;"2024-08-05T00:00:00.000Z"
"2781";2604.3194236507;2793.6364423193;2577.4603131359;2685.4983796081;33998242.5;685238779.77;"2024-08-12T00:00:00.000Z"
"2781";2685.4983796081;2858.9288285448;2620.5838642652;2820.0640459161;33075380.19;712215871.25;"2024-08-19T00:00:00.000Z"
"2781";2820.0640459161;2827.6722612585;2480.3533406605;2513.5781274562;17645289.92;625685731.24;"2024-08-26T00:00:00.000Z"
"2781";2513.5781274562;2600.706410407;2242.2480640602;2351.1311845177;74303212.91;585547070.92;"2024-09-02T00:00:00.000Z"
"2781";2351.1311845177;2492.2704171528;2346.5226102787;2376.141036707;29526423.69;586837832.39;"2024-09-09T00:00:00.000Z"
"2781";2376.1411029668;2657.7163692987;2330.1739424928;2637.3712477951;31321822.48;650810542.55;"2024-09-16T00:00:00.000Z"
"2781";2637.3712477951;2761.8196857449;2631.0895726816;2721.5809633514;31240905.65;655153403.23;"2024-09-23T00:00:00.000Z"
"2781";2721.5809633514;2721.7324080515;2377.9140915266;2490.0073506076;16838566.53;595348823.24;"2024-09-30T00:00:00.000Z"
"2781";2490.0073506076;2552.2418875396;2426.9650543921;2529.7735530835;29340341.67;601471309.81;"2024-10-07T00:00:00.000Z"
"2781";2529.7735530835;2790.3325179482;2513.2080947726;2790.3325179482;17764461.29;662441047.41;"2024-10-14T00:00:00.000Z"
"2781";2818.6780592069;2825.4567707316;2500.250787066;2575.6517406692;27048311.23;596905414.46;"2024-10-21T00:00:00.000Z"
"2781";2575.6517406692;2762.4089669503;2484.5515225497;2520.3139538488;33661981.51;573384644;"2024-10-28T00:00:00.000Z"
"2781";2519.6041015619;3321.9801549248;2450.061373737;3266.784708831;28696587.39;738309372.16;"2024-11-04T00:00:00.000Z"
"2781";3266.9799295999;3497.20423951;3118.4044833212;3167.5348633787;69854691.35;695125582.47;"2024-11-11T00:00:00.000Z"
"2781";3167.5348633787;3585.9648777678;3133.9952401467;3445.4042621649;40015545.2;880936920.84;"2024-11-18T00:00:00.000Z"
"2781";3445.4320823878;3836.1841344571;3395.2733456539;3823.2842938536;23082689.1;1343072071.49;"2024-11-25T00:00:00.000Z"
"2781";3821.6054754888;4200.8408205617;3661.867200196;4118.6682451485;15072604.71;1669247711.73;"2024-12-02T00:00:00.000Z"
"2781";4123.6756160638;4124.2086800538;3697.8873781575;4044.1785571742;20524170.82;1969967254.59;"2024-12-09T00:00:00.000Z"
"2781";4044.1785571742;4171.0429422932;3346.9710753031;3365.8199256941;34148309.54;1691821782.02;"2024-12-16T00:00:00.000Z"
"2781";3365.8199256941;3614.4256708822;3362.6333196453;3455.2061461663;45926755.18;1681812260.37;"2024-12-23T00:00:00.000Z"
"2781";3455.2061461663;3778.9155846071;3426.5158838787;3755.8284742718;18091819.91;1823263815.7;"2024-12-30T00:00:00.000Z"
"2781";3755.8284742718;3849.7321661223;3324.756654043;3358.2029064524;17046197.35;1627751251.32;"2025-01-06T00:00:00.000Z"
"2781";3358.2029064524;3617.010283125;3096.83382324;3428.4099628175;20906665.11;1875424400.66;"2025-01-13T00:00:00.000Z"
"2781";3428.4099628175;3518.1105918401;3305.2909285166;3442.5907736988;19865264.29;1870365663.24;"2025-01-20T00:00:00.000Z"
"2781";3442.5907736988;3500.7100940734;2972.777795763;2972.777795763;9940718.92;1619122612.46;"2025-01-27T00:00:00.000Z"
"2781";2972.777795763;2981.2741747789;2338.7865239255;2722.9132194015;39343228.77;1523116067.12;"2025-02-03T00:00:00.000Z"
"2781";2722.9132194015;2869.4412545441;2676.7737868628;2766.6184305116;8847472.95;1536898987.7;"2025-02-10T00:00:00.000Z"
"2781";2766.6184305116;2934.379406036;2727.0632831309;2906.3580856554;23087540.19;1615226576.56;"2025-02-17T00:00:00.000Z"
"2781";2906.3580856554;2907.4314327968;2168.2121820245;2607.7963902668;14252525.67;1433484270.29;"2025-02-24T00:00:00.000Z"
"2781";2607.7963902668;2607.7964194624;2103.4547557947;2103.4547557947;5932230.11;1147453018.44;"2025-03-03T00:00:00.000Z"
"2781";2103.4547557947;2168.7889510182;1915.4102132226;1963.9161619153;3953145.16;1069568721.95;"2025-03-10T00:00:00.000Z"
"2781";1963.9161619153;2125.6714699621;1956.0428963776;2074.8812183746;13286405.94;1133931888.44;"2025-03-17T00:00:00.000Z"
"2781";2074.8812183746;2175.9152741491;1869.5222660057;1886.6478360894;1171072.79;1111234205.5;"2025-03-24T00:00:00.000Z"
"2781";1886.6478360894;1993.5711155915;1629.1003258443;1637.8239242527;2676264.13;921459510.13;"2025-03-31T00:00:00.000Z"
"2781";1637.8239242527;1656.7764129728;1475.8646609646;1521.9353043266;0;0;"2025-04-07T00:00:00Z"
